date	total	linux-64	linux-aarch64	noarch	osx-64	osx-arm64
2025-03-30	395095871	174841598	553331	130521357	89033447	146138
2025-03-31	395241151	174882279	555866	130579477	89076626	146903
2025-04-01	395683709	175045190	564565	130735601	89188467	149886
2025-04-02	396044264	175178396	571021	130865069	89277908	151870
2025-04-03	396487127	175326468	577540	131039797	89389530	153792
2025-04-04	396937833	175506697	584452	131206919	89483877	155888
2025-04-05	397329941	175658329	591554	131348861	89573188	158009
2025-04-06	397731667	175801342	597975	131511585	89661100	159665
2025-04-07	398032913	175899775	604903	131615880	89750924	161431
2025-04-08	398398900	176036677	612155	131745436	89841243	163389
2025-04-09	398799627	176192826	619435	131885147	89936609	165610
2025-04-10	399155050	176327868	625533	132012180	90021960	167509
2025-04-11	399544605	176476348	632796	132148294	90117460	169707
2025-04-12	399945201	176637689	640550	132277783	90217260	171919
2025-04-13	400374676	176795784	647476	132444060	90313562	173794
2025-04-14	400664252	176888148	654223	132545473	90400800	175608
2025-04-15	401060476	177043465	661298	132677472	90500418	177823
2025-04-16	401313689	177179906	668195	132732911	90552744	179933
2025-04-17	401554448	177305599	674436	132789299	90601135	183979
2025-04-18	401808374	177439333	681944	132844038	90656616	186443
2025-04-19	402049233	177567038	689785	132889257	90714300	188853
2025-04-20	402339323	177709312	696739	132975072	90767421	190779
2025-04-21	402506575	177791431	703166	133002856	90816514	192608
2025-04-22	402746376	177915281	710776	133052839	90872345	195135
2025-04-23	403015181	178053063	717752	133121516	90925298	197552
2025-04-24	403362891	178229932	725224	133228417	90979567	199751
2025-04-25	403677935	178414615	733644	133290493	91037071	202112
2025-04-26	404013120	178604191	746689	133349896	91107893	204451
2025-04-27	404371597	178759626	763890	133442694	91198901	206486
2025-04-28	404568723	178859595	770932	133477453	91252232	208511
2025-04-29	404849385	179004985	778378	133544803	91308765	212454
2025-04-30	405186517	179207698	787255	133612797	91363689	215078
2025-05-01	405615516	179418565	796021	133758544	91424527	217859
2025-05-02	405863490	179543915	804301	133809973	91484831	220470
2025-05-03	406091836	179666234	811013	133855252	91536681	222656
2025-05-04	406383536	179806412	818523	133941722	91592106	224773
2025-05-05	406563793	179893519	825882	133971010	91646537	226845
2025-05-06	406809131	180022438	832604	134026558	91698469	229062
2025-05-07	407087216	180167220	840154	134094723	91753597	231522
2025-05-08	407460576	180338090	848529	134223258	91816492	234207
2025-05-09	407795101	180494333	867791	134301577	91892151	239249
