package	total
10x_bamtofastq	5186
2pg_cartesian	9507
3d-dna	2914
3seq	7090
a3partitioner	202
a5-miseq	7507
aacon	848
abacas	4067
abacat	2748
abawaca	8445
abeona	83697
abismal	14637
abnumber	98413
abpoa	61112
abra2	19463
abricate	110485
abritamr	30554
abromics_galaxy_json_extractor	15915
abruijn	5737
absense	333
abundancebin	146208
abyss	275691
abyss-k128	13525
ac	4758
ac-diamond	6946
acdc	1401
aci	1813
acms	746
actc	5221
adam	56049
adapt	14659
adapterremoval	185879
adapterremovalfixprefix	14843
adas	289
addrg	20476
admixtools	26032
admixture	18565
adpred	15753
advntr	63169
aegean	4317
aenum	16844
aeon	3298
afpdb	1270
afplot	8037
afragmenter	102
afterqc	13056
agat	73154
agc	11618
age-metasv	17637
agfusion	25830
agg	12471
agouti	5571
agrvate	8495
airr	23262
akt	17073
albatradis	31638
alcor	4304
alder	6601
ale	11213
ale-core	2907
alen	630
aletsch	15353
alevin-fry	45300
alfa	3126
alfred	117475
aliceasm	213
alientrimmer	84
align_it	19101
aligncov	1162
alignlib-lite	47146
alignment	2805
alignoth	39845
alignstats	34552
aliview	328
allegro	13064
allhic	700
allo	2916
altair-mf	1954
altamisa	28347
alv	11746
amalgkit	22
amap	5351
amas	6760
amdirt	9525
amiga	586
aminoextract	4489
amos	13569
ampcombi	12263
ampd-up	221
amplici	594
amplicon_coverage_plot	12080
ampliconclassifier	6537
ampliconsuite	12660
amplicontyper	608
amplify	13413
ampligone	12558
amplisim	1491
amptk	52853
amulety	286
amused	6155
anadama2	7065
ananse	32207
anansescanpy	18546
anansnake	1637
anarci	131956
ancestry_hmm	2533
ancestry_hmm-s	4578
anchorwave	15056
andi	21393
anglerfish	8547
angsd	45213
aniclustermap	8426
anise_basil	12143
anndata	72196
anndata2ri	38906
annembed	6015
annonars	64024
annosine2	4648
annotsv	11199
annotwg	1826
anospp-analysis	3399
ansible	9454
ant	15076
antarna	5534
antismash	54226
antismash-lite	8663
anvio	77796
anvio-minimal	42879
any2fasta	50023
aodp	5368
aplanat	53841
apoc	7317
apollo	40738
appspam	10904
aprfinder	6877
apscale	5319
apt-probeset-summarize	6253
aptardi	2645
apu-label-propagation	1020
aquamis	17067
aquila	2946
aquila_stlfr	19129
aquila_sv	2599
aquila_umap	3037
aquilasv	10428
aragorn	143142
arb-bio	11714
arb-bio-devel	8611
arb-bio-tools	68481
arborator	1015
arboreto	9606
arcas-hla	21888
archer	3054
architeuthis	2413
arcs	30700
arcsv	1228
arem	6397
argh	24423
argnorm	2673
argo	2430
argparse	29680
argparse2tool	2803
args_oap	8417
argutils	9379
aria2	200977
ariba	102676
array-as-vcf	7375
arriba	40248
art	53249
artemis	32459
artex	142
artic	32041
artic-porechop	20868
artic-tools	48509
arvados-cli	4957
arvados-cwl-runner	176491
arvados-python-client	203089
ascat	24438
asciigenome	58525
asgal	1941
ashlar	5254
ashleys-qc	6517
askocli	39909
asn2gb	6947
aspera-cli	4178
asqcan	11586
assemblerflow	17610
assembly-scan	20364
assembly-stats	31175
assembly_finder	13586
assemblycomparator2	12053
assemblytics	7709
assemblyutility	8442
astalavista	19684
aster	15023
astral-tree	4013
atac	9018
atactk	10859
ataqv	39074
athena_meta	9552
atlas	4746
atlas-data-import	18267
atlas-fastq-provider	13253
atlas-gene-annotation-manipulation	8423
atlas-metadata-validator	22972
atol-bpa-datamapper	261
atropos	122152
attotree	5082
augur	239191
augustus	295541
auriclass	4498
auspice	98009
authentict	3500
autobigs-cli	803
autobigs-engine	721
autocycler	436
autodock	6514
autodock-vina	37293
autogenes	2582
autogrid	15248
autolog	9484
automappa	2201
autometa	15447
aviary	20185
avro	9220
avro-cwl	11342
avro-python2	28177
avro-python3	67956
awscli	33496
axiome	6361
azure-cli	8852
b2b-utils	4640
b2btools	3893
bacgwasim	6234
backports.csv	10074
backports.unittest_mock	15087
backspinpy	7478
bacpage	1647
bacphlip	3586
bactopia	139780
bactopia-assembler	7530
bactopia-gather	8590
bactopia-py	17777
bactopia-qc	6028
bactopia-sketcher	5053
bactopia-teton	6755
bactopia-variants	3770
baczy	49
badread	9860
baitfisher	7329
bakdrive	2475
bakrep-cli	28
bakta	90279
bali-phy	6535
balrog	14118
baltic	10113
bam-readcount	53992
bam2fasta	26424
bam2fastx	21257
bam2plot	419
bamaddrg	4476
bamaligncleaner	5009
bambamc	14334
bamclipper	16384
bamcmp	4920
bamdash	6010
bamhash	16657
bamkit	6361
bamm	10717
bamr	2558
bamread	71503
bamscale	14112
bamsnap	8270
bamstats	1991
bamsurgeon	728
bamtocov	30403
bamtools	413606
bamutil	48409
bandage	16642
bandage_ng	3373
banner	5540
barcode-validator	68
barcode_splitter	7713
baredsc	7060
barriers	14243
barrnap	151318
barrnap-python	7439
barseqcount	4639
bart	1903
basenji	9527
basic	46992
batch_brb	6723
bats	8655
batvi	6831
bax2bam	14171
bayesase	5300
bayescan	7911
bayescode	7529
bayestyper	3972
baypass	1870
bazam	5834
bbknn	79798
bbmap	849111
bbmapy	29
bbmix	505
bcalm	25481
bcbio-gff	153298
bcbio-nextgen	382302
bcbio-nextgen-vm	92146
bcbio-prioritize	46212
bcbio-rnaseq	37446
bcbio-variation	19066
bcbio-variation-recall	59566
bcbio_monitor	12263
bcbiogff	42093
bcbreport	72938
bcftools	2930330
bcftools-gtc2vcf-plugin	8351
bcftools-liftover-plugin	108
bcftools-snvphyl-plugin	23083
bcgtree	456
bcl2fastq-nextseq	18462
bcool	5500
bcov	7032
bctools	12410
bd2k-python-lib	54529
beacon2-import	5250
beacon2-ri-tools	1296
beagle	36356
beagle-lib	51192
beamspy	4183
beast	42321
beast2	31506
