version	total
0.2.0	2475
0.2.1	2467
0.2.2	2461
0.3.0	2388
0.4.0	2640
0.5.0	2612
0.5.1	2267
0.5.2	2271
0.5.3	2173
0.6.0	1825
0.6.1	1758
0.6.2	1742
0.7.0	1708
0.7.1	1660
0.7.2	1622
0.7.3	1607
0.8.0	1565
0.8.1	2017
0.8.2	1781
0.9.0	1206
0.10.0	1530
0.11.0	1613
0.12.0	1435
0.12.1	1136
0.13.0	1559
0.14.0	604
0.14.1	611
0.14.2	607
0.14.3	593
0.15.0	579
0.16.0	603
0.16.1	605
0.16.2	567
0.16.3	645
0.16.4	1803
1.0.1	1789
1.0.2	1878
1.1.0	1712
1.1.1	1716
1.1.2	1786
1.1.3	1647
1.1.5	1737
1.1.6	1694
1.2.0	1651
1.2.1	1803
1.3.0	1648
1.4.0	1574
1.4.1	1956
1.4.2	1169
1.4.3	1281
1.4.4	1079
1.4.5	1091
1.4.6	1250
1.5.0	1029
1.5.1	915
