version	total
0.2.0	1752
0.3.0	1754
0.5.0	1739
0.5.1	1737
0.6.0	1686
0.7.0	1678
0.8.0	1650
0.9.0	1648
0.10.0	1458
0.12.4	1457
0.12.7	1427
0.12.8	1387
0.12.9	1372
0.13.0	1340
0.14.1	1334
0.15.0	1504
0.16.0	1490
0.17.0	1479
0.18.0	1471
0.19.0	1452
0.20.0	1472
0.21.0	1406
0.21.1	1382
0.22.0	1394
0.23.1	1402
0.24.0	1415
0.24.1	1430
0.24.2	1424
0.24.4	1420
0.24.5	1374
0.25.0	1320
0.26.0	1314
0.26.1	1301
0.27.0	1304
0.28.0	1271
0.29.0	1266
0.29.1	1268
0.29.2	1276
0.29.3	1275
0.29.4	1271
0.30.0	1258
0.30.1	1260
0.31.0	1253
0.31.1	1225
0.31.2	1225
0.32.0	1210
0.33.0	1211
0.34.0	1331
0.34.1	1135
0.35.0	1128
0.36.0	1087
0.36.1	1291
0.36.2	993
0.37.0	953
0.38.0	1008
0.39.0	1026
0.40.0	877
0.41.0	819
0.44.0	557
0.44.1	703
