version	total
1.0.20160323	5418
1.0.20160311144647	5448
1.0.20160314171956	5385
1.0.20160318143738	5542
1.0.20160401183214	5385
1.0.20160406195023	5344
1.0.20160411202258	5473
1.0.20160421150319	5511
1.0.20160502202716	6802
1.0.20160715171107	9566
1.0.20161031135838	5202
1.0.20161123235904	5667
1.0.20161230191227	5731
1.0.20170216151734	5605
1.0.20170327202303	5603
1.0.20170414202629	5829
1.0.20170914161842	5481
1.0.20171010180436	5817
1.0.20171211211613	5221
1.0.20180216164101	6808
1.3.0.20181218191458	5102
1.3.0.20190206223817	2871
1.3.0.20190221150417	2735
1.3.1.20190301150258	5774
1.3.1.20190419203205	5274
1.3.2.20190419203205	5260
1.3.3.20190419203205	4914
1.4.0	2739
1.4.1	2799
1.4.2	2722
1.4.3	2765
2.0.0	3010
2.0.1	2667
2.0.2	2872
2.0.3	2666
2.0.3.1	3281
2.0.4	2705
2.6.3	1222
2.7.0	1140
3.1.2	39
