version	total
0.1.20160301181511	5665
0.1.20160318153100	5767
0.1.20160331153549	5653
0.1.20160412193510	5077
0.1.20160517202250	8265
0.1.20161031135838	5524
0.1.20161123074954	6575
0.1.20170818194607	5472
0.1.20171010180436	5626
0.1.20171211211613	7013
1.2.0.20180905185317	5180
1.2.0.20181108215719	5103
1.2.0.20181109162613	5210
1.2.0.20181121194423	5141
1.2.1	5248
1.3.0.20181130020805	4961
1.3.0.20190205182514	4810
1.3.0.20190221150417	2580
1.3.1.20190301150258	6649
1.3.1.20190402172810	5425
1.3.2.20190402172810	5374
1.3.3.20190402172810	5460
1.4.0	5549
1.4.1	5049
1.4.2	4819
1.4.3	4712
2.0.0	4615
2.0.1	4746
2.0.2	2934
2.0.3	2714
2.0.3.1	2883
2.0.4	2789
2.1.0	2743
2.1.1	2820
2.1.2	2737
2.2.0	2691
2.2.1	2629
2.2.2	2633
2.3.0	2572
2.3.1	2533
2.3.2	2518
2.3.3	2368
2.4.0	2338
2.4.1	2242
2.4.2	2080
2.4.3	2033
2.4.4	1911
2.5.0	1844
2.6.0	1631
2.6.1	1598
2.6.2	1552
2.6.3	1654
2.7.0	1291
2.7.1	1128
2.7.2	894
2.7.3	801
2.7.4	738
3.0.0	629
3.1.0	242
3.1.1	200
3.1.2	223
3.2.0	31
