version	total
0.1.5	128
0.2.0	86
0.2.1	89
0.3.1	85
0.4.0	83
0.4.1	84
0.5.0	81
0.5.1	76
0.5.2	70
0.5.3	74
0.5.4	77
0.5.5	74
0.6.0	80
0.7.0	70
0.7.1	70
0.7.2	73
0.7.4	69
0.7.5	70
0.8.0	67
0.8.1	68
0.8.2	68
0.8.3	64
0.8.4	65
0.9.0	63
0.9.1	65
0.9.2	68
0.10.0	70
0.10.1	69
0.10.3	65
0.10.4	70
0.11.0	69
0.11.1	58
0.11.2	61
0.11.3	61
0.11.4	55
0.12.0	57
0.12.1	55
0.12.2	59
0.13.0	58
0.13.1	52
0.13.3	55
0.13.4	56
0.14.0	55
0.15.0	57
0.15.1	56
0.15.2	55
0.15.3	56
0.15.4	56
0.15.5	54
0.16.0	35
0.16.1	35
0.17.1	29
0.18.0	29
0.18.1	30
0.19.0	25
0.19.1	26
0.19.2	26
0.19.3	29
