version	total
3.1.5	2981
4.0.0	2697
5.1.0	2875
5.1.1	2846
5.2.0	2833
5.2.1	2834
5.3.0	2835
5.4.0	2819
5.4.1	2830
6.0.0	2841
6.1.0	2850
6.1.1	2847
6.2.0	2839
6.3.0	2831
6.4.0	2823
6.4.1	2824
6.4.2	2828
6.4.3	2820
7.0.2	2842
8.0.0	2833
9.0.0	3185
10.0.0	2814
10.0.2	2554
10.0.3	2530
10.0.4	2519
10.1.0	2540
10.1.1	2562
10.2.0	2596
10.3.0	2900
11.0.0	2675
11.1.0	2614
11.1.2	3898
11.2.0	2938
11.3.0	2647
12.0.0	3103
12.1.1	2557
13.0.0	2750
13.0.1	2778
13.0.2	2600
13.0.3	2520
13.0.4	2408
13.1.0	2583
13.1.1	2364
13.1.2	4029
14.0.0	2970
14.1.0	2276
15.0.0	2430
15.0.1	2458
15.0.2	3565
16.0.1	2349
16.0.2	2174
16.0.3	2834
17.0.0	2465
17.1.0	2987
18.0.0	3435
18.1.0	2119
18.1.1	2007
18.1.2	3671
18.2.0	2443
19.0.0	1922
19.1.0	2012
19.2.0	2671
19.3.0	1813
20.0.0	2280
21.0.0	2174
21.0.1	3033
21.1.0	3642
22.0.0	2140
22.0.1	2429
22.0.2	2621
22.0.3	3649
22.1.0	2750
22.2.0	2310
22.3.0	2427
22.4.0	2580
23.0.0	1866
23.1.0	3838
23.1.1	3189
24.0.0	1270
24.1.0	1709
24.2.0	1011
24.2.1	1092
24.2.2	1153
24.2.3	1495
24.3.0	4661
24.4.0	3566
25.0.0	818
25.1.0	912
25.1.1	1240
25.2.0	2411
25.3.0	1164
25.4.0	1098
26.0.0	2995
26.1.0	817
26.2.0	2278
27.0.0	1949
27.1.0	709
27.2.0	738
28.0.0	959
28.0.1	1188
29.0.0	4463
29.1.0	269
30.0.0	513
30.0.1	1088
31.0.0	788
31.1.0	1216
31.2.0	1538
31.2.1	547
31.3.0	2591
31.4.0	2242
31.5.0	3247
32.0.0	1921
32.1.0	1388
