version	total
1.0.1	2680
1.1.0	3348
1.2.0	3004
1.2.1	3009
1.2.2	3011
1.2.4	2978
1.3.0	3036
1.3.1	3049
1.4.0	3025
1.4.1	3005
1.4.2	3015
1.4.3	3009
1.4.4	3002
1.4.5	3018
1.4.6	2999
1.4.7	3000
1.4.8	3014
1.4.9	3012
1.4.10	3034
1.4.11	3388
1.5.0	2985
1.5.1	2977
1.5.2	2993
1.5.3	3001
1.5.4	3314
1.5.5	2995
1.5.6	3014
1.6.0	3368
1.6.1	3099
1.6.2	3651
1.6.3	2981
1.6.4	2973
1.6.5	3358
1.7.0	3042
1.7.1	3212
2.0.0	3095
2.0.1	11997
2.0.2	2673
2.0.3	12046
2.1.0	11804
2.1.1	12025
2.2.0	12051
3.0.0	11559
3.0.1	20702
3.1.0	18127
3.2.0	16871
4.0.0	178
