version	total
0.3	3019
0.3.1	2400
0.3.2	2405
0.4	3012
0.5	3283
1.0	3047
1.0.1	2689
1.0.2	2670
1.0.3	2678
1.0.4	2876
1.1	2954
1.1.1	2602
1.2.0	2575
1.2.1	2590
1.2.2	2600
1.2.3	2534
1.2.4	2939
1.3.0	2293
1.3.1	2474
1.3.3	2328
1.4.0	3294
1.4.1	2170
1.4.2	2275
1.5.0	2308
1.5.1	3075
1.6.0	1934
1.6.1	2431
1.7.0	3414
1.8.0	1596
1.8.1	3789
1.8.2	3023
1.9.0	1099
1.9.1	1271
1.9.2	1788
1.9.3	2786
1.9.4	2807
1.10.0	632
1.10.1	887
1.10.2	634
1.10.3	818
1.10.4	1418
1.11.0	2496
1.11.1	297
1.11.2	423
1.11.3	1034
1.11.4	3015
1.12.0	950
