version	total
35.85	6901
36.32	12173
36.84	5584
37.02	5835
37.10	6215
37.17	13784
37.52	20308
37.62	25531
37.66	19280
37.75	18009
37.77	17616
37.78	20461
37.90	20605
37.95	18952
37.96	18273
37.99	21713
38.06	28393
38.16	8529
38.18	30544
38.19	17648
38.20	17988
38.22	50385
38.44	19676
38.45	17665
38.46	17913
38.49	17527
38.51	17662
38.56	18248
38.57	17767
38.58	18215
38.61b	18234
38.62	17519
38.63	18157
38.65	16987
38.67	18121
38.68	17661
38.69	19904
38.70	17062
38.71	17209
38.72	17155
38.73	18662
38.75	19376
38.76	23638
38.79	22422
38.84	38154
38.86	21594
38.87	22059
38.88	16058
38.89	16064
38.90	67069
38.91	23908
38.92	18233
38.93	21478
38.95	29970
38.96	44407
38.97	22683
38.98	31988
38.99	15943
39.00	18152
39.01	98083
39.06	26369
39.08	6033
39.09	1734
39.10	6240
39.11	2025
39.13	4414
39.15	2842
39.17	1265
39.18	3043
39.19	7017
39.24	594
39.25	2061
39.26	5804
39.28	2311
39.33	5906
