version	total
0.9.5	5576
0.9.6a	8507
0.9.6	5966
0.9.7a	10097
0.9.7	5962
0.9.8a0	12608
0.9.8	6066
0.9.9a0	14721
0.9.9	11212
1.0.0a0	13670
1.0.0	5899
1.0.1a0	9710
1.0.1	6902
1.0.2a	6635
1.0.2	6105
1.0.3a	15356
1.0.3	5947
1.0.4a0	8595
1.0.4	6097
1.0.5a	11148
1.0.5	5945
1.0.6a0	11401
1.0.6	6015
1.0.7a0	11641
1.0.7	6336
1.0.8a	8542
1.0.8	5829
1.0.9a	11568
1.0.9	5831
1.1.0a	11355
1.1.0	5879
1.1.1a	12967
1.1.1	5322
1.1.2a	7128
1.1.2	5273
1.1.3a	11689
1.1.3	6528
1.1.4a	11672
1.1.4	6123
1.1.5a	7375
1.1.5	6359
1.1.6a	7026
1.1.6	2805
1.1.7	2909
1.1.8	2961
1.1.9	3051
1.2.0	3160
1.2.1	2849
1.2.2	2802
1.2.3	4542
1.2.4	3670
1.2.5	2832
1.2.6	2821
1.2.7	2929
1.2.8	3604
1.2.9	4917
