version	total
20200205	2556
20220103	2421
20220104	2426
20220105	2416
20220106	2408
20220107	2412
20220108	2415
20220109	2407
20220110	2418
20220111	2413
20220112	2411
20220113	2397
20220114	2405
20220115	2402
20220116	2408
20220117	2406
20220118	2406
20220119	2397
20220120	2397
20220121	2392
20220122	2393
20220123	2389
20220124	2387
20220125	2383
20220126	2389
20220127	2384
20220128	2373
20220129	2381
20220130	2383
20220131	2386
20220201	2375
20220202	2373
20220203	2369
20220204	2361
20220205	2364
20220206	8204
20220803	5642
20220921	6419
20221115	9294
20230228	2521
20230310	1964
20230313	3208
20230414	2688
20230428	2248
20230506	11762
20230907	1908
20230918	9442
20231213	3270
20240112	7808
20240416	3716
20240525	8302
20240805	129449
20240913	3199
20241219	455
20250516	126
20250603	112
