version	total
1.2	9978
2.0	7489
2.0.1	12116
3.0.1	10510
3.0.2	28002
4.0.beta1	4349
4.0.0	3101
4.0.1	3011
4.0.2	3191
4.0.4	3836
4.0.5	3392
4.0.6	3744
4.1.1	3013
4.1.2	8878
4.1.3	3147
4.1.4	8140
5.0.0	3982
5.1.0	3322
5.1.1	12636
5.1.2	13315
5.1.3	12572
5.2.0	12047
5.2.1	12132
5.2.2	6241
5.3.0	3073
5.3.1	11820
5.3.2	15897
5.4.0	21279
5.4.1	11759
5.4.2	12470
5.4.3	21145
5.4.4	5607
5.4.5	2778
5.4.6	3232
5.4.7	4771
5.5.0	8833
5.6.0	1433
5.6.1	2409
5.7.0	1821
5.7.1	6779
5.8.0	5451
5.8.1	627
5.8.2	5287
5.8.3	9563
6.0.0	34251
