version	total
0.9.83	2299
0.9.84	2554
0.9.85	2278
0.9.86	2287
0.9.88	2337
0.9.89	2076
0.9.90	2044
0.9.91	2242
0.9.92	1708
0.9.93	1709
0.9.95	1919
0.9.96	1524
0.9.97	1527
0.9.98	1407
0.9.99	1354
1.0.0	1467
1.0.1	2145
1.1.0	646
1.1.1	585
1.1.2	551
1.2.0	517
1.3.0	528
1.3.1	523
1.3.2	556
1.3.3	474
1.3.4	464
1.3.6	465
1.3.7	464
1.3.8	465
1.3.9	467
1.4.0	487
1.4.1	467
1.4.2	467
1.4.3	458
1.4.4	457
1.4.5	455
1.4.6	470
1.4.7	466
1.4.8	505
1.4.9	468
1.5.0	578
1.5.1	584
1.5.2	452
1.5.3	458
1.5.4	171
1.5.5	154
1.5.7	163
1.5.8	147
1.5.9	158
1.6.0	179
1.6.1	249
1.6.2	85
1.6.3	93
1.6.4	83
1.6.5	283
1.6.6	187
