version	total
2022.8.24a1	2078
2023.7.18a1	1263
2023.9.22a1	1281
2023.12.15a1	1073
2024.2.5a1	988
2024.5.7a1	834
2024.7.19a1	639
2024.7.19a3	581
2024.7.19a4	629
2024.7.19a5	590
2024.7.19a6	568
2024.7.19a7	445
2024.7.19a8	446
2024.7.19a9	447
2024.11.29a2	392
2024.12.19a1	239
2024.12.19a2	234
2025.3.22a2	181
2025.3.22a4	133
2025.5.8a1	60
2025.5.8a2	65
2025.5.8a3	59
2025.5.8a4	63
2025.5.8a5	56
2025.5.8a6	93
2025.5.8a7	59
2025.5.8a8	75
2025.5.8a9	95
2025.5.8a10	113
2025.7.10a1	144
2025.7.10a2	105
2025.7.10a3	109
2025.7.10a4	101
2025.7.10a5	107
2025.7.10a6	113
2025.7.10a7	61
2025.7.10a8	54
2025.7.10a9	46
2025.7.10a10	75
2025.9.8a1	65
2025.9.8a2	52
2025.9.8a3	48
2025.9.8a4	49
2025.9.8a5	21
