version	total
1.0.3	4850
1.0.5	4852
1.1.0	5547
1.1.1	7784
1.2.0	5794
1.2.1	5841
2.1.0	4855
2.1.1	4938
2.2.0	4184
2.3.1	4619
2.3.2	5625
2.3.3	4434
2.3.4	4428
2.3.5	4407
2.3.6	6488
2.3.7	5228
2.3.8	4207
2.4.1	4188
2.4.2	4181
2.4.3	4195
2.4.6	4208
2.4.7	4192
2.4.8	4159
2.4.9	4169
2.5.0	4147
2.5.1	4115
2.5.2	4144
2.5.3	5431
2.5.4	4417
2.5.5	4373
2.5.6	4368
2.5.7	5744
2.5.8	4467
2.5.9	4057
2.6.0	4069
2.6.1	4029
2.6.2	4030
2.6.3	5213
2.6.4	3553
2.6.5	4733
2.6.6	5257
2.7.0	1604
2.7.1	423
2.8.0	122
2.8.1	75
2.8.2	114
