version	total
1.0.1	2516
1.0.2	2513
1.0.3	2507
1.0.4	2511
1.0.5	2508
1.0.6	2516
1.0.7	2512
1.0.9	2508
1.1.0	2533
1.2.0	2469
1.2.2	2477
1.3.0	2494
1.3.1	2491
1.3.2	2501
1.3.3	2499
1.3.4	2489
1.3.5	2497
1.3.6	2501
1.3.9	2500
1.4.0	2425
1.4.1	2428
1.4.2	2437
1.4.3	2777
1.4.5	2422
1.4.6	2429
1.4.7	2430
1.4.8	2427
1.4.9	2425
1.5.0	2695
1.5.1	2434
1.5.2	2438
1.5.3	2439
1.5.4	2437
1.5.5	2431
1.5.6	2443
1.5.8	2437
1.6.0	2844
1.6.1	2604
1.6.2	2600
1.6.3	2601
1.6.4	2851
1.6.5	2864
1.6.6	2607
1.6.7	2603
1.6.8	2602
1.7.0	2610
1.7.2	2613
1.7.7	2603
1.7.9	2857
1.8.0	2586
1.8.1	2576
1.8.2	2582
1.8.3	2576
1.8.6	2567
1.8.7	2565
1.8.8	2568
1.9.0	2572
1.9.1	2576
1.9.2	2576
1.9.3	2837
1.9.4	3075
1.9.5	2568
1.9.6	8968
1.9.7	2600
1.9.8	9328
1.9.9	9344
2.0.0	2754
2.0.1	8820
2.0.2	8615
2.0.3	2195
2.0.4	2181
2.0.5	2189
2.0.6	8679
2.0.7	2105
2.0.8	8851
2.0.9	8496
2.1.0	8749
2.1.1	112331
2.1.2	7436
2.1.3	7784
2.1.4	7867
2.1.5	7768
2.1.6	7366
2.1.7	6274
