version	total
1.0.20160310140736	5355
1.0.20160311201238	5619
1.0.20160318153100	5578
1.0.20160323212343	5494
1.0.20160325210917	5482
1.0.20160331184641	5580
1.0.20160408133555	5577
1.0.20160413143011	4863
1.0.20160422204730	5351
1.0.20160427142240	6389
1.0.20160714182449	10512
1.0.20160913171024	5241
1.0.20160930152149	5595
1.0.20161005195021	5712
1.0.20161007181528	5594
1.0.20161122201220	5632
1.0.20161123190203	5744
1.0.20161221171240	5631
1.0.20161227200419	5014
1.0.20170217172322	6661
1.0.20170413194156	6140
1.0.20170817131858	6466
1.0.20170822192924	5524
1.0.20170828135420	5829
1.0.20170928192020	6109
1.0.20180130110340	7541
1.0.20180225105849	7411
