version	total
0.2.0	6333
0.2.2	6370
0.2.3	7521
0.2.4	7182
0.2.5	8761
0.2.6	7616
0.2.8	7827
0.3.0	8186
0.3.2	5957
0.4.0	10762
0.4.1	10542
0.4.2	10600
0.5.0	12067
0.5.1	12585
0.5.3	8617
0.5.5	9813
0.6.5	7334
0.6.6a	8299
0.7.2	18665
0.8.0	8363
0.8.4	159416
0.10.0	105099
0.10.8	13812
0.10.10	41332
0.11.2	76646
0.11.4	74460
0.11.5	55046
0.11.6	10433
0.11.7	8420
0.20.0	10206
0.20.1	5878
0.20.3	4407
0.20.4	6614
0.20.5	4783
0.20.6	4847
0.20.7	4965
0.20.8	4799
0.20.9	6489
0.30.1	5253
0.30.2	4776
0.30.4	5942
0.30.6	7339
0.30.8	6489
0.30.9	4513
0.30.11	16451
0.30.12	4752
0.30.13	3534
0.30.14	10126
0.30.15	8659
0.30.16	20516
0.30.22	3459
0.30.25	1357
0.30.26	1124
0.30.27	1149
0.30.28	2787
0.31.0	7675
0.31.1	12085
0.31.2	5243
0.31.3	4805
0.31.4	10006
0.32.1	1626
