version	total
0.1.1	2916
0.1.2	2904
0.1.4	2890
0.1.6	2922
0.1.7	2894
0.1.10	2967
0.1.11	2955
0.1.12	2966
0.1.13	2966
0.1.14	2976
0.1.15	2938
0.1.16	3032
0.1.29	2903
0.1.30	2876
0.1.31	2863
0.1.33	2827
0.1.34	2826
0.1.35	2814
0.1.36	2782
0.2.0	2506
0.2.1	2507
0.2.2	2478
1.0.0	2470
1.0.1	2441
1.1.2	2448
2.1.8	1605
2.1.9	1587
2.2.0	1574
2.2.1	1559
2.2.2	1555
2.2.3	1538
2.2.4	1516
2.2.5	1475
2.2.6	1471
2.2.7	1467
2.2.9	1450
2.2.12	1451
2.2.14	1420
2.2.18	1389
2.2.20	1380
2.2.22	1395
2.2.26	1174
2.2.27	1206
2.2.36	877
2.2.38	1401
3.0.2	722
3.0.4	736
3.0.6	783
3.0.7	708
3.0.8	779
3.1.3	524
3.1.5	368
3.1.7	385
3.1.8	659
3.1.9	244
3.1.10	73
3.1.13	234
