version	total
1.5.8.2	5349
1.5.9.1	6133
2.0.0	5389
2.0.1	5424
2.1.0	5395
2.2.0	5429
2.2.1	5398
2.2.2	5491
2.2.3	7033
2.2.4	5709
2.3.1	11828
2.3.2	11846
2.3.3	11915
2.3.4	7479
2.3.5	12872
2.3.6	9984
2.4.0	7140
2.4.1	10365
2.4.2	7315
2.4.3	50795
2.5.0	66633
2.5.1	53761
2.5.2	51303
2.5.3	52626
2.5.4	52388
2.5.5	50201
2.5.6	50545
2.5.7	54688
3.0.0	50876
3.0.1	97632
3.0.2	53382
3.1.0	7319
3.1.1	7123
3.1.2	8141
3.1.3	13917
3.2.0	4731
3.2.1	5815
3.3.0	7351
3.3.1	9149
3.3.2	5055
3.4.0	2838
3.4.1	2961
3.4.2	2870
3.4.3	7763
3.5.0	9581
3.5.1	29055
3.5.2	5693
3.5.3	3466
3.5.4	9646
3.5.5	13403
3.5.6	9001
