version	total
0.7.10	9400
0.7.12	6546
0.8.9	9977
0.8.22	12645
0.8.24	9058
0.8.26	7032
0.8.27	7518
0.8.28	7016
0.8.29	7537
0.8.30	7076
0.8.31	7120
0.8.36	33840
0.9.10	26197
0.9.14	76680
0.9.19	38969
0.9.21	31575
0.9.22	23781
0.9.24	58952
0.9.25	21550
0.9.26	21449
0.9.28	20228
0.9.29	21802
0.9.30	22218
0.9.32	20961
0.9.34	19740
0.9.35	20724
0.9.36	23474
2.0.0	19473
2.0.1	19724
2.0.2	19676
2.0.4	34783
2.0.5	21686
2.0.6	23727
2.0.7	22831
2.0.8	46207
2.0.9	24389
2.0.10	18996
2.0.11	28199
2.0.12	20818
2.0.13	22000
2.0.14	41403
2.0.15	70756
2.1.2	9691
2.1.3	19440
2.1.4	39893
2.1.6	36298
2.1.7	7286
2.1.8	53265
2.1.9	28041
2.1.10	39191
2.1.11	80912
2.1.12	84749
2.1.13	30351
2.1.14	7872
2.1.15	6208
2.1.16	2244
