version	total
0.223.0	6035
0.225.0	6665
0.247.0	5515
0.250.2	4684
0.254.0	5335
0.257.3	5469
0.261.1	5529
0.273.0	6637
0.282.0	3113
0.283.0	3016
0.284.0	3011
0.285.0	3078
0.285.1	2996
0.286.1	2992
0.287.0	2943
0.288.0	2934
0.289.1	5013
0.290.1	3031
0.291.1	15437
0.292.0	2997
0.293.0	2488
0.294.0	2477
0.295.1	2452
0.296.0	2418
0.297.1	2387
0.298.1	2341
0.299.0	2322
0.300.1	3013
0.301.1	3002
0.302.1	2985
0.303.1	2509
0.304.1	2464
0.305.0	2431
0.306.0	2452
0.307.0	2359
0.308.0	2318
0.309.0	2295
0.310.0	2578
0.311.0	2583
0.312.0	2483
0.313.0	2555
0.314.0	2440
0.315.0	2337
0.316.0	2310
0.317.0	2840
0.318.0	2769
0.318.1	3026
0.319.2	3375
0.320.0	3006
0.321.0	10078
0.322.1	2878
0.323.0	2827
0.324.1	2761
0.325.1	3118
0.326.1	12275
0.327.1	11428
0.328.0	11623
0.329.0	11312
0.330.0	11321
0.331.0	11249
0.342.1	10957
0.343.0	11415
0.344.0	11137
0.345.0	11151
0.346.0	10983
0.347.0	11243
0.349.1	11242
0.350.1	9710
0.352.1	10811
0.353.1	10652
0.354.0	10469
0.355.0	10069
0.356.0	10503
0.357.0	10422
0.358.0	10476
0.359.0	10330
0.359.1	10393
0.361.0	10510
0.362.0	10492
0.363.0	10658
0.364.0	10861
0.365.0	10844
0.366.0	10508
0.367.0	10247
0.368.1	10608
0.369.0	10439
0.369.1	10235
0.370.2	10642
0.371.0	10058
0.372.0	10095
0.373.0	10592
0.374.0	10373
0.376.0	10531
0.377.0	10859
0.378.0	10407
0.379.0	10064
0.380.0	10324
0.381.0	10133
0.382.0	10230
0.383.1	9822
0.384.0	9649
0.385.0	10273
0.386.0	10191
0.387.0	10266
0.388.0	28765
0.389.0	9269
0.390.0	9569
0.391.0	9562
0.392.0	9563
0.393.0	8279
0.394.0	9676
0.395.0	7200
0.396.0	10260
0.397.0	5108
0.398.0	19405
0.399.0	14506
0.399.1	14427
0.400.1	15073
0.407.0	5932
0.408.2	7618
0.409.0	2509
0.410.0	1229
0.411.0	411
