version	total
3.1	1523
3.2	1528
3.2.1	1010
3.2.2	992
4.0	1677
4.0.1	1365
4.0.2	1148
4.0.3	1154
4.0.4	864
4.0.5	1040
4.0.6	1058
4.0.7	1018
4.0.8	1012
4.1.0	1024
4.1.1	1301
4.2.3	887
4.2.4	1303
4.3.0	865
4.4.0	834
4.4.1	667
4.4.4	724
4.4.5	901
4.5.0	1111
5.0.0	1096
5.0.3	375
5.1.0	876
5.1.1	679
6.0.0	445
6.0.1	520
6.0.3	416
6.1.0	372
6.1.1	417
6.2.0	537
6.3.0	371
6.3.1	654
6.3.2	412
6.3.3	306
6.3.4	543
6.3.5	471
6.3.6	386
7.0.0	355
7.0.1	883
7.0.2	325
7.0.3	322
7.1.0	240
7.2.1	251
7.2.2	250
7.2.3	88
7.2.4	139
