version	total
0.1.0	2208
0.1.5	2210
0.1.6	2208
0.1.7	2210
0.1.8	5365
0.1.9	2179
0.1.10	2295
0.1.11	2290
0.1.12	2276
0.1.13	2293
0.1.14	2273
0.1.15	2273
0.1.16	2262
0.1.17	2272
0.1.18	2265
0.1.19	2264
0.1.20	2268
0.1.21	2232
0.1.22	2229
0.1.23	2227
0.1.24	2217
0.1.25	2211
0.1.26	2093
0.1.27	1986
0.1.28	1853
0.1.29	1817
0.1.30	1747
0.1.32	1557
0.1.33	1496
0.1.34	1494
0.1.35	1512
0.1.36	1336
0.1.37	1149
0.1.39	985
0.1.40	877
0.1.41	714
0.1.42	733
0.1.44	421
0.1.45	377
0.1.46	366
0.1.47	368
0.1.48	335
0.1.49	325
0.1.50	390
0.1.51	176
0.1.52	197
0.1.53	127
0.1.54	37
