version	total
88	5184
88.8	5311
88.9	12909
88.10	5995
89.1	6473
89.4	6230
89.7	5494
90.1	5949
90.3	5302
90.5	5327
90.6	6073
90.7	5939
90.9	5268
90.10	5340
91.0	5456
91.1	4998
91.2	4955
91.3	6492
92.0	5396
92.3	4972
92.4	6162
93.2	5244
93.4	5357
94.0	4983
94.4	5172
94.5	6120
95.0	5697
95.1	7405
95.2	5746
95.3	5385
96.0	8103
96.3	3040
97.0	2835
97.1	2866
97.2	2839
97.3	3488
97.4	2917
98.0	3163
98.1	2728
98.2	2993
98.3	3769
99.0	5735
99.1	2818
99.2	20714
100.0	2895
100.1	3054
100.2	4871
100.3	3033
100.4	4632
101.0	5455
102.0	13422
103.1	4480
104.0	3061
104.1	2961
104.2	3039
104.3	10487
105.0	9167
106.0	2295
106.1	2851
107.0	4936
108.0	2114
108.1	2198
108.2	3248
109.3	5668
110.0	1332
110.1	3046
111.0	3646
112.0	4474
113.0	768
113.2	435
113.3	1926
113.4	964
114.0	273
114.1	577
114.2	133
