version	total
0.1.post2	5986
0.1.post4	6837
0.1.1	6499
0.1.2	6505
0.1.3a0	5910
0.1.3a1	5888
0.1.3.post1	6559
0.1.3.post3	5986
0.1.4	7466
0.2.1	5057
0.3.1	5079
0.3.2	4555
0.4.0	4985
0.4.1	4977
0.4.2	4980
0.4.3	5033
0.4.4	4864
0.4.5	5774
0.5.0	5154
0.5.1	5082
0.5.2	4983
0.5.3	4752
0.5.4	4711
0.5.5	4686
0.6.0	4572
0.6.1	4594
0.6.2	4565
0.6.3	4520
0.6.4	4483
0.7.0	4474
0.7.1	4477
0.8.0	4313
0.8.1	4306
0.8.2	4309
0.8.3	4285
0.9.0	5393
0.10.0	3682
0.10.1	3670
0.11.0	4787
0.12.0	3577
0.13.2	4781
0.15.0	3144
0.15.1	3151
0.15.2	3133
0.16.0	2881
0.16.1	2858
0.16.2	2878
0.17.0	2531
0.17.1	4559
0.18.1	2501
0.18.2	2428
0.18.3	2318
0.19.1	2233
0.19.2	2143
0.19.3	1968
0.19.6	1961
0.19.7	1957
0.19.9	1961
0.19.10	2829
0.20.0	4188
0.20.1	2260
0.21.0	2234
0.22.2	3014
0.23.0	2825
0.24.0	2319
0.24.1	2238
0.24.2	1934
0.24.3	3300
0.24.5	1280
