version	total
4.0a1.2.7.2	8047
4.0b1	7968
4.0b2	7955
4.0b3	8001
4.0b4	8044
4.0b5	8248
4.0b6	8409
4.0.0.0	7206
4.0.1.0	6933
4.0.1.1	7198
4.0.1.2	5750
4.0.2.0	5871
4.0.2.1	5951
4.0.3.0	6720
4.0.4.0	25306
4.0.5.1	14200
4.0.5.2	2920
4.0.6.0	107306
4.0.7.0	3367
4.0.8.1	3563
4.0.9.0	3329
4.0.10.0	4549
4.0.11.0	4870
4.0.12.0	6577
4.1.0.0	8393
4.1.1.0	18157
4.1.2.0	8835
4.1.3.0	6211
4.1.4.0	49414
4.1.4.1	26449
4.1.5.0	81844
4.1.6.0	15438
4.1.7.0	15435
4.1.8.0	17318
4.1.8.1	9412
4.1.9.0	25418
4.2.0.0	135946
4.2.1.0	13709
4.2.2.0	17623
4.2.3.0	7703
4.2.4.0	13888
4.2.4.1	118570
4.2.5.0	91567
4.2.6.0	20022
4.2.6.1	30707
4.3.0.0	55761
4.4.0.0	19996
4.5.0.0	21219
4.6.1.0	14346
4.6.2.0	24600
