version	total
2014.12.23	8588
2014.12.28	5792
2015.09.10	7047
2015.12.31	8349
2016.09.23	7905
2017.02.15	7255
2017.05.08	10583
2017.09.30	9722
2017.10.30	9394
2017.11.15	15265
2018.03.25	46131
2018.07.04	40951
2019.02.26	4285
2019.06.10	36239
2019.09.12	39984
2020.04.08	66908
2020.06.01	66365
2020.06.30	36268
2020.10.14	37892
2021.02.22	5881
2021.03.08	4282
2021.05.27	4257
2021.08.25	13762
2023.03.24	2753
2023.04.28	2857
2023.06.01	2135
2023.07.20	2607
2023.10.01	1697
2023.10.10	3339
2023.12.01	1177
2024.02.22	1112
2024.03.15	3121
2024.05.07	1528
2024.05.20	2763
2024.08.14	1663
2024.09.18	1763
2024.10.10	1139
2024.10.20	1438
2024.11.20	7772
2025.04.18	834
2025.04.19	3095
2025.07.31	9022
