version	total
0.4.2	6806
0.5.2a0	6834
0.5.3	6832
0.6.0	6754
0.6.2	6749
0.7.2	6417
0.7.3	6492
0.7.4	8637
0.8.2	6556
0.8.3	6627
0.8.6	6686
0.8.11	6794
0.9.0	6595
0.9.1	6324
0.9.2	7460
0.9.3	6623
0.9.5	4854
0.9.7	5301
0.9.8	6501
0.9.9	2932
0.9.13	2871
0.9.15	2840
0.9.16	2874
0.9.17	2755
0.9.18	2736
0.9.19	2704
0.10.0	2726
0.10.1	2824
0.10.2	3037
0.10.3	2753
0.10.4	3020
0.10.5	3887
0.10.6	2536
0.10.7	3062
0.10.8	3732
0.12.0	5159
0.12.1	2828
0.13.0	3333
0.14.0	3437
1.0.0	2627
1.0.1	1747
1.0.2	2508
1.0.3	3214
1.0.4	4635
1.0.5	2477
1.0.6	2606
1.1.0	1612
1.1.1	1657
1.1.2	2483
1.1.3	4942
1.1.4	3161
1.1.5	1125
1.1.6	1491
1.1.8	1591
1.1.9	2586
