version	total
0.1.1	2174
0.2.0	1551
0.3.0	1847
0.4.0	1276
0.5.0	1167
0.6.0	1028
0.6.1	1030
0.7.0	1005
0.7.3	1009
0.8.0	958
0.9.1	962
1.0	988
1.1	1040
1.1.1	875
1.2.0	883
1.2.1	861
1.2.2	857
1.2.3	815
1.3	809
1.4	791
1.4.1	806
1.4.2	785
1.5	77301
1.6	76858
1.6.1	76558
1.7.0	76891
1.8.0	78291
1.8.1	77388
1.8.2	78604
1.9	152990
1.10	74380
1.10.1	74974
1.11	76139
1.12	75746
1.13	75924
1.14	75912
1.14.1	150262
1.14.2	76645
1.14.3	76119
1.15.0	75841
1.16.0	76530
1.16.1	76188
1.16.2	75431
1.16.3	105975
2.0	7477
2.1	7221
2.2	7205
2.3	11830
2.4	286
2.4.1	196
2.4.2	199
2.5.0	270
2.6.0	198
2.6.1	143
2.7	69
2.8	63
2.8.1	62
3.0	72
3.0.1	86
3.1	84
