version	total
2.3.11	5137
2.3.12	5066
2.3.14	25027
2.5.0	5592
2.5.1	14872
2.5.2	35205
2.5.3	13981
2.5.4	34260
2.5.5	24466
2.5.6	4168
2.5.7	23667
2.5.8	17262
2.5.9	24137
2.5.10	14004
2.5.11	13742
2.5.12	34570
2.5.14	24081
2.5.15	4085
2.5.16	3812
2.5.17	24232
2.5.19	13825
2.5.20	13086
2.5.21	3717
2.5.22	23546
2.5.22.1	13665
2.5.23	14668
2.5.24	14049
2.5.25	13013
2.5.26	13766
2.5.28	13086
2.5.29	4410
2.5.30	3969
2.5.31	13284
2.5.32	13084
2.5.33	12824
2.5.36	23353
2.5.38	22353
2.5.39	12220
2.5.40	12870
2.5.41	23062
2.5.42	13015
2.5.46	2114
2.5.47	2191
2.5.48	2035
2.5.49	2024
2.5.50	3542
2.5.57	1503
2.5.58	1428
2.5.59	1449
2.5.60	1682
2.5.61	1344
2.5.62	2112
2.5.63	1139
2.5.64	1890
2.5.65	1471
2.5.69	696
2.5.70	747
2.5.71	843
2.5.73	738
2.5.74	740
2.5.75	753
2.5.76	16314
2.5.77	30776
2.5.78	57560
2.5.79	14396
2.5.80	26450
2.5.81	26883
2.5.82	440
2.5.83	51444
2.5.84	1914
2.5.85	12558
2.5.86	30286
2.5.92	23105
2.5.93	16236
2.5.94	9477
2.5.96	8572
2.5.97	6360
2.5.99	886
