version	total
2.3.98	6094
2.4.6	5664
2.4.9	15866
2.4.16	3271
2.4.17	10145
2.5.2	4678
2.8.0	2732
2.8.1	2841
2.8.2	3265
2.8.3	2774
2.8.4	2691
2.8.5	2733
2.8.6	2900
2.8.8	2698
2.8.9	2723
2.8.10	3474
2.8.11	3220
2.8.12	2932
2.8.13	3865
2.9.0	2832
2.9.1	2746
2.9.2	3252
2.9.3	2795
2.9.4	3743
2.9.5	3041
2.10.0	3089
2.10.2	2798
2.10.3	2858
2.11.0	2855
2.11.1	2978
2.11.2	2868
2.11.3	3065
2.11.4	2464
2.11.5	2353
2.11.6	2354
2.11.7	2358
2.11.9	2925
2.12.0	2326
2.12.1	2247
2.12.2	2378
2.12.3	2982
2.13.0	2664
2.13.1	2198
2.13.2	9461
2.16.2	5069
2.17.3	688
2.17.4	3901
2.19.1	706
2.19.2	695
2.19.3	868
2.19.4	148
