version	total
0.9.7	2675
0.9.8	2693
0.9.10	3073
0.9.11	3411
0.9.12	3027
0.9.13	3049
0.9.14	3055
0.9.15	3038
0.9.16	3009
0.9.17	3042
0.9.18	3013
0.9.19	3376
0.9.20	3009
0.9.24	2992
0.9.25	2992
0.9.26	3006
0.9.28	3009
0.9.29	2990
0.9.30	3008
0.9.31	3037
0.9.32	3001
0.9.33	3008
0.9.40	2992
0.9.41	2986
0.9.42	3019
0.9.43	3007
0.9.44	3001
0.9.45	3029
0.9.46	2990
0.9.47	2998
0.9.48	2997
0.9.49	2997
0.9.50	3396
0.9.51	3032
0.9.52	3005
0.9.53	2991
0.9.54	3021
0.9.56	3342
0.9.57	3077
0.9.58	2996
0.9.59	3025
0.9.60	2964
0.9.61	3049
0.9.62	3044
0.9.63	3053
0.9.64	2983
0.9.65	3050
0.9.66	2962
0.9.67	2985
0.9.68	3033
0.9.71	3012
0.9.74	2956
0.9.77	2976
0.9.78	2985
0.9.80	2934
0.9.81	3391
0.9.82	2716
0.9.84	3846
0.9.85	2614
0.9.86	2168
0.9.87	2508
0.9.88	1984
0.9.89	1875
0.9.90	2175
0.9.92	2118
0.9.93	2105
0.9.94	1401
0.9.95	1355
0.9.96	1139
0.9.97	867
0.9.98	858
0.9.99	885
0.9.100	857
0.9.101	836
0.9.102	1196
0.9.103	654
0.9.104	907
0.9.105	902
0.9.106	146
0.9.107	469
0.9.108	415
