version	total
0.8.4	6866
0.8.12	5511
0.9.6	4214
0.9.9	4177
0.9.10	3512
0.9.11	3514
0.9.12	3518
0.9.13	3508
0.9.14	3742
1.0.1	3883
1.0.2	3859
1.0.3	3855
1.0.5	3851
1.0.6	3736
1.0.7	3572
1.0.8	3889
1.0.9	5356
1.0.10	4209
1.0.11	4218
1.0.12	4166
1.0.13	4227
1.0.14	3781
1.1.5	3767
1.1.8	3658
1.1.10	4644
1.1.11	4640
1.1.12	3895
1.1.14	3711
1.1.15	3781
1.1.16	3592
1.1.17	5816
1.1.18	3606
1.1.19	4459
1.2.3	2954
1.2.4	2986
1.2.5	2969
1.2.6	2953
1.2.7	5266
1.3.4	2312
1.3.5	1582
1.3.6	1682
1.3.8	1549
1.3.9	1611
1.4.9	918
1.4.10	914
1.4.11	977
1.4.15	1136
1.4.16	2094
