version	total
1.0.1	5146
1.1.7	5302
1.2.0	6821
1.2.1	5001
1.2.3	4991
1.2.5	4892
1.2.6	4840
1.2.7	4801
1.2.9	4807
1.2.11	4460
1.2.12	4494
1.2.14	4306
1.2.15	4281
1.2.16	4270
1.2.17	4222
1.2.18	4229
1.2.19	4218
1.2.20	4141
1.2.21	4562
1.2.22	3991
1.2.25	3883
1.2.26	3902
1.3.0	3975
1.3.2	3968
1.3.3	4028
1.3.4	3931
1.3.5	3824
1.3.6	3868
1.3.7	3690
1.3.8	3677
1.3.9	3952
1.3.10	3560
1.3.12	7628
1.3.13	4379
1.3.14	5986
1.3.15	3424
1.3.17	3355
1.3.18	3322
1.3.19	3352
1.3.21	3293
1.3.22	3332
1.3.23	6920
1.3.24	3209
1.3.25	2972
1.3.26	2927
1.3.27	2960
1.3.28	3698
1.4.0	3571
1.4.1	3010
1.4.2	2947
1.4.3	5253
1.4.9	8678
1.4.14	4112
1.4.15	6629
1.4.17	775
1.4.18	960
1.5.0	2528
1.5.1	1678
1.6.6	1075
1.6.7	1067
1.6.8	174
