version	total
490	12953
638	16668
719	17813
847	7953
874	14833
876	47094
941	100350
963	130059
982	34191
992	34928
1021	34474
1047	33732
1060	40327
1186	32546
1205	64157
1219	27953
1238	34339
1250	33785
1254	27219
1256	34244
1257	33054
1260	63168
1268	64624
1270	32975
1281	32520
1282	33042
1291	32741
1293	33237
1296	32471
1356	33001
1387	31780
1389	32301
1406	47623
1407	47969
1409	27813
1410	26615
1411	64164
1418	33052
1420	32132
1422	32063
1445	32169
1447	32052
1448	32066
1449	32457
1450	32075
1452	32164
1453	104208
1454	34984
1512	31530
1513	31287
1517	31180
1518	30795
1519	31043
1521	30129
1522	31556
1526	30691
1540	30953
1541	31108
1542	73079
1544	45887
1548	41920
1550	60678
1565	62233
1571	57554
1574	61945
1584	62319
1595	125794
1607	123049
1608	57276
1611	59436
1615	58104
1639	56543
1642	47031
1648	67340
1650	60176
1651	31584
1652	13007
1654	7451
