version	total
2.19.11	2417
2.57.2	535
2.57.3	515
2.58.0	529
2.58.2	492
2.59.0	497
2.59.1	462
2.61.0	151
2.61.1	251
2.61.2	137
2.62.0	125
2.62.1	128
2.62.2	129
2.62.3	130
2.63.1	133
2.64.0	146
2.64.1	144
2.65.1	128
2.65.2	119
2.65.3	113
2.65.5	112
2.65.6	107
2.65.7	112
2.66.1	106
2.66.3	112
2.67.0	114
2.67.2	118
2.67.4	116
2.67.5	111
2.67.6	104
2.67.12	94
2.67.13	92
2.67.14	85
2.67.16	79
2.67.17	83
2.67.19	83
2.67.20	82
2.67.21	83
2.67.22	68
2.67.23	71
2.70.2	59
2.70.4	61
2.71.0	62
2.71.2	209
2.72.2	45
2.74.0	50
2.76.0	38
2.76.1	40
2.76.2	42
2.76.3	46
2.76.5	179
2.76.6	129
2.76.8	84
2.76.9	49
2.76.10	49
2.77.0	22
