version	total
0.5.2	5443
0.6.0	5050
0.6.2	5014
0.6.4	4924
0.6.5	4892
0.7.0	5539
0.7.1	5073
0.8.0	4654
0.8.1	5379
0.9.0	4495
0.9.1	4556
0.9.2	4722
0.10.0	5660
0.10.1	4444
0.11.0	5111
0.11.1	4393
0.11.2	4433
0.11.3	4210
0.11.4	4273
0.11.5	9282
0.12.1	5050
1.0.0	4033
1.0.1	6109
1.0.3	17320
1.1.1	4142
1.1.2	4877
1.1.3	4510
1.2.0	4363
1.2.1	6137
1.2.2	5723
1.2.3	4737
1.2.5	3282
1.2.6	6008
1.3.0	3148
1.3.2	3583
1.3.3	3346
1.4.1	3336
1.4.2	3065
1.4.3	5313
1.4.4	42218
1.5.0	7734
1.6.0	3958
1.6.1	6083
1.7.0	2770
1.7.1	2762
1.7.2	5880
1.8.0	7337
1.10.0	1722
1.11.0	1652
1.11.1	2268
1.11.2	1606
1.11.3	7247
2.0.0	1555
2.0.1	6824
2.1.0	1163
2.1.1	4943
