version	total
0.1.1	1515
0.2.0	1640
0.2.1	1476
0.3.1	1899
0.4.0	1387
0.4.1	1389
0.5.0	1404
0.5.6	1368
0.5.7	1384
0.6.0	1332
0.6.1	1325
0.6.2	1336
0.7.0	1191
0.8.0	1146
0.10.0	1161
0.11.0	1153
0.12.0	1145
0.13.0	1135
0.14.0	1134
0.14.1	1137
0.14.2	1132
0.14.3	1129
0.15.0	1123
0.15.1	1129
0.15.2	1120
0.16.0	1086
0.17.0	1074
0.17.1	1070
0.18.0	1058
0.18.1	1090
0.20.0	783
0.21.0	822
0.21.1	926
0.21.2	663
0.22.0	676
0.23.0	666
0.23.1	659
0.23.2	661
0.24.1	474
0.24.2	453
0.25.0	500
0.25.2	484
0.25.3	490
0.25.4	486
0.25.5	568
0.26.0	361
0.26.1	557
0.27.0	351
0.28.0	268
0.28.1	267
0.35.0	103
0.35.1	213
0.36.0	119
0.36.1	71
0.36.2	67
0.36.3	70
0.37.0	60
0.37.1	171
