version	total
1.1.0	453
1.1.1	447
1.1.2	445
1.1.3	416
1.1.5	393
1.1.6	340
1.1.7	324
1.1.8	319
1.1.9	314
1.1.10	827
1.1.11	788
1.1.12	786
1.2.0	295
1.2.1	297
1.2.2	285
1.3.1	262
1.3.3	249
1.3.4	258
1.3.5	254
1.3.6	247
1.3.7	236
1.3.8	235
1.3.9	229
1.3.10	160
1.3.12	144
1.4.0	183
1.4.1	188
1.4.2	186
1.4.3	131
1.4.4	124
1.4.5	98
1.4.8	94
1.4.9	90
1.4.11	83
1.4.12	77
1.4.13	79
1.4.15	81
1.4.18	65
1.4.19	61
1.4.20	78
1.4.21	56
1.4.23	53
1.4.27	53
1.4.28	55
1.4.29	52
1.4.32	47
1.4.33	52
1.4.34	49
1.4.35	46
