version	total
2.0.1	5338
2.0.3	4856
2.0.4	4861
2.0.5	4873
2.0.6	4899
2.1.1	3057
2.1.3	3059
2.1.4	3489
2.2.0	3028
2.3.beta2	2991
2.3.2	2990
2.3.3	2960
2.3.4	2961
2.3.5	2964
2.4	3018
2.4.1	3032
2.4.2	3020
2.4.3	3018
2.4.4	3053
2.4.5	3043
2.5.0	2994
2.6a1	2977
2.6a2	3169
2.6a4	2951
2.7.0	2898
2.8.0	2860
2.8.1	2877
2.8.2	2710
2.9.0	2608
2.9.1	2932
2.10.0	2258
2.11.0	2151
2.11.1	1855
2.12.0	2099
2.13.0	1651
2.13.1	1673
2.14.0	1546
2.14.2	1484
2.14.3	1523
2.15.0	1548
2.15.1	1467
2.15.2	1467
2.16.1	1462
2.16.2	1522
2.16.3	1422
2.17.0	1358
2.17.1	1357
2.17.2	1291
2.18.0	1308
2.18.1	1289
2.18.2	777
2.19.0	640
19.0.1	711
