version	total
0.0.9	1093
0.1.0	1092
0.1.1	1094
0.1.2	968
0.1.3	910
0.1.4	809
0.1.5	740
0.1.6	712
0.1.7	638
0.1.8	609
0.1.9	436
0.2.0	415
0.2.1	408
0.2.2	363
1.0.0	356
1.0.1	333
1.0.2	329
1.0.3	320
1.0.4	314
1.0.5	277
1.0.6	272
1.0.7	273
1.0.8	270
1.1.0	271
1.1.1	273
1.1.2	265
1.2.0	262
1.2.1	270
1.2.3	254
1.2.4	256
1.2.5	254
1.2.6	255
1.2.7	255
1.2.8	71
1.2.9	64
1.2.10	56
1.2.11	63
1.3.0	55
1.4.1	46
1.4.4	48
1.4.5	43
1.4.6	42
1.4.8	42
1.4.9	36
1.4.10	34
1.4.11	29
1.4.12	34
1.4.13	27
1.4.14	28
1.4.15	28
1.4.16	24
1.4.17	25
1.4.18	30
