version	total
0.4	8810
0.5	6751
0.6	7803
0.7	11358
0.7.1dev0	13588
0.8dev0	7061
0.8	7733
0.9a	6478
0.9	11378
0.9.1a0	25858
1.0	12487
1.1	5024
1.2	7818
1.3	12756
1.4	7953
1.5a	9099
1.5	9405
1.6a0	10647
1.6	15552
1.7	31781
1.8	20657
1.9	42062
1.10	4582
1.10.1	19225
1.11	33296
1.12	45140
1.13a	12144
1.13	24790
1.14	65099
1.15	14529
1.16	4574
1.17	19130
1.18	3183
1.19	11342
1.20	1855
1.21	9695
1.22	908
1.22.1	1416
1.22.2	2425
1.22.3	3533
1.23	4365
1.24	492
1.24.1	3605
1.25	1589
1.25.1	7312
1.25.2	4677
1.26	2492
1.27	2019
1.27.1	5214
1.28	3794
