version	total
0.5.0	6715
0.7.0	6714
0.12.4	6144
0.15.0	6138
0.16.0	6249
0.19.0	7806
0.23.0	6169
0.23.1	6158
1.0.0	6139
1.1.0	6740
1.6.0	3190
1.7.0	3161
1.8.0	3185
1.9.0	3182
1.9.1	3172
1.9.2	3620
1.10.0	3072
1.10.1	3075
1.11.2	3124
1.11.3	3057
1.12.0	3052
1.13.0	3082
1.13.1	3126
1.14.1	3034
1.15.0	3034
1.15.1	2960
1.16.0	2914
1.16.1	2880
1.17.0	2856
1.18.0	2806
1.19.0	2685
1.19.1	2436
1.19.3	2440
1.20.0	2090
1.21.0	1991
1.21.2	1525
1.22.0	1539
1.23.1	1708
1.24.2	352
1.25.2	252
1.25.3	332
1.25.4	430
1.25.6	691
