version	total
3.0.8	4684
3.0.9	4671
3.0.11	4091
3.0.12	4067
3.1.1b	4557
3.2.1	4603
3.2.3	4394
3.6.4	4268
3.6.7	4347
3.6.10	4330
3.6.15	4135
3.8.4	5292
3.8.28	3854
3.9.3	4573
3.9.8	4090
3.10.1	5890
3.10.5	4189
3.10.14	3209
3.10.16	3871
3.10.18	3554
3.10.20	2627
3.10.21	2587
3.10.23	3840
3.10.24	3964
3.10.30	4347
3.10.36	2597
3.10.40	3548
3.10.42	3117
3.10.45	4806
3.11.2	6111
3.11.4	2827
3.11.11	2780
3.11.14	4584
3.11.17	1791
3.11.18	3115
3.11.20	2069
3.11.26	3571
3.12.8	11791
4.0.3	2845
4.0.15	834
4.0.19	3865
4.0.22	1010
4.0.23	7954
4.2.4	842
4.2.5	2887
4.2.7	3420
