version	total
14.13.0	1869
14.15.0	1851
14.16.0	1840
14.17.0	1820
14.18.0	1818
14.19.0	1805
14.20.0	1815
14.21.0	1804
14.22.0	1801
14.22.1	1805
14.23.0	1778
14.25.1	12874
14.26.0	1777
14.27.0	2083
15.11.0	1125
15.12.0	1388
15.13.0	1291
15.13.1	1304
15.14.0	1239
15.15.0	1225
15.16.0	1219
15.16.1	1240
15.16.2	1210
15.16.3	1204
15.17.0	1212
15.18.0	1216
15.19.0	1189
15.19.1	1311
15.21.1	1410
15.23.0	1523
15.24.0	2214
15.25.0	1403
15.26.0	1379
15.27.0	1365
15.27.1	1422
15.28.0	1334
15.29.0	1365
15.30.0	1323
15.31.0	1309
15.31.1	1321
15.31.2	1350
15.31.3	1305
15.32.0	1291
15.33.0	1298
15.34.0	1274
16.0.0	886
16.1.1	830
16.1.2	805
16.2.0	875
16.3.0	906
16.4.3	812
16.4.4	819
16.4.5	857
16.4.7	816
16.4.8	1190
16.4.9	751
16.5.0	821
16.6.0	9765
16.6.1	29022
