version	total
1.1.0	2828
1.2.0	2863
1.2.1	2777
1.2.3	3156
1.3.0	2929
1.4.0	2631
1.4.1	2633
1.4.4	2514
1.4.5	2739
1.5.0	2471
1.5.1	2545
1.6.0	2511
1.7.0	2549
1.8.0	2489
1.8.1	2603
1.9.0	2554
1.10.0	2418
1.10.1	2466
1.10.2	4268
1.10.3	2692
1.11.0	6132
2.0.0	2109
2.1.0	2153
2.2.0	2457
2.3.0	2750
2.3.1	2117
2.4.0	3094
2.5.0	3277
2.6.0	2128
2.7.0	2791
2.8.0	3396
2.9.0	2427
2.9.1	3463
2.10.1	1203
2.11.0	1928
2.12.0	2225
2.13.0	1261
2.13.1	2375
2.14.0	13691
3.0.0	1551
3.0.1	1413
3.1.0	1427
3.2.0	1029
3.2.1	1531
3.3.0	908
3.3.1	3098
3.4.0	2414
3.5.0	841
3.6.0	1603
3.7.0	799
3.7.1	1328
3.7.3	776
3.7.4	1401
3.8.0	1493
3.8.1	1223
3.8.2	4720
3.9.0	1037
3.9.1	5461
3.10.1	493
3.10.2	3816
3.11.0	332
3.12.0	268
3.13.0	268
3.13.1	225
3.13.2	728
3.13.3	521
3.14.0	776
3.14.1	65
3.14.2	313
3.14.3	72
3.14.4	58
3.14.5	443
3.15.0	72
