version	total
0.19.3	9970
0.21.3	5578
0.23.4	5263
0.24.1	5227
0.24.2	9555
0.25.1	6419
0.27.0	5147
0.27.1	5132
0.27.2	5145
0.27.4	5171
0.27.5	5136
0.27.6	5408
0.28.0	5200
0.28.1	5122
0.28.2	5260
0.29.0	5159
0.29.1	5135
0.30.0	4948
0.30.1	6863
0.30.2	3042
0.31.0	2722
0.31.1	3383
0.32.0	3140
18.10.1	4702
19.01.0	8596
19.04.0	2923
19.04.1	3506
19.07.0	4059
19.10.0	51783
20.01.0	6946
20.04.1	12061
20.07.1	7609
20.10.0	17617
21.04.0	20078
21.10.0	4691
21.10.6	18297
22.04.0	31310
22.04.5	7428
22.10.0	6067
22.10.1	4433
22.10.4	4976
22.10.6	11461
23.04.1	14057
23.04.3	4298
23.04.4	2723
23.10.0	9972
23.10.1	12530
24.04.1	1197
24.04.2	5412
24.04.3	2950
24.04.4	11491
24.10.0	1838
24.10.1	1005
24.10.2	1567
24.10.3	2140
24.10.4	5215
24.10.5	6211
24.10.6	757
