version	total
1.1	3032
1.2	3045
1.3	3030
1.4	3212
1.5	3004
1.6	3083
1.7	2997
1.8	2953
1.9	5227
1.10.2	2562
1.11	2921
1.12	2863
1.12.1	2590
1.13	2856
1.13.1	2512
1.13.2	2485
1.13.3	2666
1.14	3143
2.0.1	2860
2.1	3531
2.2	3555
2.3	2589
2.3.1	2286
2.3.2	3448
2.4.1	6661
2.5	2246
2.5.1	2737
2.6	4489
2.7.1	2191
2.7.2	5832
2.8	3446
2.9	4203
2.10	3024
2.11	1256
2.11.1	1703
2.12	1197
2.12.1	1389
2.13	1242
2.13.1	4067
2.14.1	6430
3.0.0	483
3.0.1	549
3.0.2	2401
3.1.0	251
3.1.1	494
3.1.2	470
3.2.0	2425
3.2.1	1259
3.3.1	841
3.3.2	2365
3.4.1	606
3.5.0	65
3.5.1	949
3.5.2	1197
