version	total
2018_04	5850
2018_06	5198
2018_10	4581
2018_11	4613
2019_03	4733
2019_04	4723
2019_05	4551
2019_07	4433
2019_08	4315
2019_09	4685
2019_11	4339
2020_03	4030
2020_06	3663
2020_09	3445
2020_12	3312
2021_03	3993
2021_06	3384
2021_09	3162
2021_12	3725
2022_04	2809
2022_07	2915
2022_10	2844
2022_11	2331
2022_12	2297
2023_02	2807
2023_06	1857
2023_09	1690
2023_11	1575
2024_02	1022
2024_06	1258
2024_07	802
2024_08	777
2024_11	1025
2025_01	849
2025_03	856
2025_05	679
2025_07	1039
2025_09	2079
2025_12	1114
2026_06	237
