version	total
2.7.40	1775
2.8.28	1781
2.8.35	1759
2.8.36	1753
2.8.37	1746
2.8.38	1747
2.8.40	1743
2.9.1	1722
2.9.2	1721
2.9.3	1724
2.9.34	1518
2.9.36	1501
2.9.37	1403
2.9.39	1402
2.9.41	1369
2.9.43	1348
2.9.49	1350
2.9.51	1351
2.9.52	1336
2.9.53	1336
2.9.54	1318
2.9.55	1318
2.9.56	1305
2.9.57	1285
2.9.58	1285
2.9.59	1280
2.9.60	1281
2.9.62	1269
2.9.64	1268
2.9.68	1242
2.9.69	1236
2.9.71	1238
2.9.72	1236
2.9.75	1235
2.9.77	1232
2.9.78	1229
2.9.80	1217
2.9.81	1214
2.9.82	1202
2.9.83	1193
2.9.85	1141
2.9.87	1108
2.9.88	1083
2.9.89	1074
2.9.90	1057
2.9.91	1051
2.9.92	1027
2.9.93	990
2.9.94	992
2.9.95	986
2.9.96	984
2.9.97	973
2.9.106	900
2.9.109	890
2.9.110	894
2.9.111	886
2.9.112	886
2.9.114	878
2.9.116	879
2.9.119	867
2.9.122	872
2.9.123	866
2.9.127	831
2.9.128	834
2.10.1	684
2.10.2	674
2.10.3	645
2.10.4	647
2.11.0	652
2.11.1	650
2.11.2	632
2.11.3	630
2.11.4	548
2.11.5	541
2.11.8	536
2.11.9	505
2.11.10	392
2.11.11	382
2.11.14	370
2.11.21	366
2.11.24	350
2.11.25	348
2.11.26	341
2.12.2	342
2.12.3	327
2.12.4	327
2.12.5	279
2.12.6	266
2.12.7	203
2.12.9	195
2.12.10	368
2.12.11	306
2.12.12	273
2.12.15	278
2.12.17	274
2.12.18	278
2.12.19	287
2.12.20	77
2.12.21	73
2.12.22	45
2.12.23	31
2.12.24	24
2.12.25	30
