version	total
1.2.14	2623
1.2.18	2618
1.2.20	2598
1.2.21	2599
1.2.22	2600
1.2.23	2598
1.2.25	2610
1.2.26	2601
1.2.27	2597
1.2.29	2616
1.2.32	2632
1.2.33	2591
1.2.34	2600
1.2.36	2664
1.2.37	2605
1.2.38	2640
1.2.39	2573
1.2.41	2576
1.2.42	2581
1.2.43	2580
1.2.44	2577
1.2.46	2569
1.2.47	2571
1.2.50	2565
1.2.51	2568
1.2.52	2559
1.2.53	2559
1.2.54	2575
1.2.55	2548
1.2.56	2556
1.2.58	2556
1.2.59	2603
1.2.61	2546
1.2.62	2555
1.2.63	2555
1.2.64	2535
1.2.65	2544
1.2.66	2546
1.2.68	2543
1.2.70	2533
1.2.71	2601
1.2.73	2557
1.2.75	2533
1.2.76	2940
1.2.77	2532
1.2.78	2513
1.2.81	2728
1.2.82	2544
1.2.83	2497
1.2.84	2535
1.2.86	2516
1.2.87	2477
1.2.88	2612
1.2.89	2543
1.2.90	2478
1.2.91	2626
1.2.92	2519
1.2.93	2540
1.2.94	2562
1.2.95	2468
1.2.96	2490
1.2.97	2502
1.2.98	2546
1.2.100	2852
1.2.101	2823
1.2.102	2890
1.2.103	3000
1.2.105	2844
1.2.106	2915
1.2.107	2800
1.2.108	2834
1.2.109	2812
1.2.110	2881
1.2.111	2856
1.2.112	3052
1.2.113	2791
1.2.114	2946
1.2.116	2957
1.2.118	2778
1.2.119	2783
1.2.120	2854
1.2.121	2788
1.2.122	2789
1.2.123	3101
1.2.124	2737
1.2.125	2712
1.2.126	2762
1.2.127	2864
1.2.128	2914
1.2.129	2725
1.2.130	2755
1.2.131	2847
1.2.132	2838
1.2.133	2717
1.2.134	2721
1.2.135	2641
1.2.136	2592
1.2.137	2625
1.2.138	2665
1.2.139	2580
1.2.140	2586
1.2.141	2705
1.3	2722
1.4	2637
1.6	2616
1.7	2589
1.8	2719
1.9	2660
1.11	2473
1.12	2510
1.13	2448
1.14	2497
1.15.1	2340
1.16	2249
1.17	2193
1.18	2108
1.18.1	1946
1.19	1922
1.20	1820
1.21	1731
1.22	1628
1.23	1516
1.24	1301
1.25	1261
1.26	1206
1.27	1123
1.28	1002
1.29	931
1.30	825
1.31	704
1.32	578
1.33	490
1.33.1	451
1.34	419
1.35	115
1.36	97
1.37	111
1.38	120
1.39	61
