version	total
2020.12.17_2	2043
2021.01.16	2989
2021.01.22	3080
2021.01.30	2971
2021.02.01	2515
2021.02.05	2563
2021.02.06	2573
2021.02.12	2558
2021.02.18	2532
2021.02.21	2801
2021.03.16	3143
2021.03.29	3083
2021.04.01	3682
2021.04.14	3096
2021.04.21	3062
2021.04.23	3054
2021.04.28	3198
2021.05.10	3127
2021.05.19	3088
2021.05.27	3855
2021.06.05	2753
2021.06.15	2988
2021.07.09	3241
2021.07.28	3062
2021.08.09	3168
2021.08.24	3469
2021.09.17	3284
2021.09.28	3026
2021.10.13	3123
2021.10.18	3050
2021.11.04	2142
2021.11.09	2315
2021.11.18	2424
2021.11.25	2640
2021.12.06	3675
2022.01.20	2633
2022.02.02	3903
2022.03.22	8283
