version	total
1.1	2791
1.1.5	4191
1.1.11	2861
1.1.13	2907
1.1.14	8011
2.1.7	2839
2.1.10	3124
2.1.11	2824
2.2.1	3034
2.2.2	2739
2.3.0	3020
2.3.2	2778
2.3.4	2692
2.3.5	2710
2.3.6	2962
2.3.8	3339
2.4	2820
2.4.2	3706
3.0.3	2793
3.0.5	2760
3.1.2	2732
3.1.3	2740
3.1.4	3648
3.1.5	2867
3.1.6	2748
3.1.7	2813
3.1.8	2688
3.1.9	2686
3.1.10	2056
3.1.11	3700
3.1.14	2695
3.1.15	2030
3.1.16	3444
3.1.17	3521
3.1.18	1861
3.1.19	2029
3.1.20	3445
4.0.1	2393
4.0.2	3357
4.0.3	2354
4.0.4	2418
4.0.5	2673
4.0.6	4563
4.1	2233
4.1.1	3310
4.1.2	4091
4.1.3	4812
4.2	3429
4.3	6252
4.3.1	2226
4.3.2	121
4.3.3	46
4.3.4	117
