version	total
1.1.3	14207
1.11.0	10951
1.13.3	11128
1.13.6	38521
1.14.4	64905
1.14.6	64689
1.15.0	65938
1.15.1	36982
1.16.0	66235
1.16.3	9228
1.16.4	19107
1.16.13	64040
1.16.14	64135
1.16.15	64395
1.16.16	63177
1.16.17	63461
1.16.20	62402
1.16.22	62736
1.16.23	63193
1.16.26	11890
1.16.29	11581
1.16.30	12448
1.16.31	12475
1.16.32	11940
1.16.35	23344
1.16.36	12640
1.16.40	22058
2.0.1.alpha	23920
2.0.5	23045
2.0.9	22676
2.0.14	22288
2.0.15	42369
2.0.18	42520
2.0.25	22980
2.0.33	42159
2.2.6	42412
2.2.17	10856
2.2.23	11029
2.2.25	10588
3.0.0	10724
3.0.1	11552
3.0.3	10758
3.0.4	10612
3.0.6	10519
3.0.8	10511
3.0.11	9828
