version	total
5.20180120	7145
5.20180626	5760
5.20180820	9256
5.20181130	5252
5.20181218	11671
5.20190420	5701
5.20190524	88995
5.20220120	2892
5.20220220	2958
5.20220313	2805
5.20220320	3572
5.20220420	3812
5.20220527	3565
5.20220620	26553
5.20230220	444
5.20250528	942
5.20250702	716
5.20250720	638
5.20250803	944
5.20250820	2488
5.20250923	4104
5.20251022	3710
5.20251120	3212
5.20251220	2353
5.20260119	3404
5.20260220	1979
5.20260308	1130
5.20260320	994
5.20260330	3082
5.20260420	5859
5.20260601	7469
5.20260708	3824
5.20260720	9459
5.20260803	7468
