version	total
1.11.5	2611
1.11.7	2627
1.11.10	2142
1.11.12	1958
1.11.13	1882
1.11.14	1886
1.11.15	1605
1.11.16	1128
1.12.0	1539
1.12.2	1401
1.12.3	1399
1.12.4	1392
1.12.5	1413
1.13.0	1289
1.13.1	1295
1.14.0	1242
1.16.0	1231
1.17.0	1219
1.19.0	1206
1.19.1	1193
1.19.2	1153
1.19.3	1212
1.19.4	1145
1.19.5	1059
1.19.6	1041
1.19.8	1033
1.19.9	1046
1.20.0	309
2.0.0	890
2.0.1	1369
2.0.2	526
2.0.3	643
2.1.2	320
2.1.5	86
2.1.37	73
2.1.38	123
2.1.47	85
2.1.60	69
2.1.72	85
2.1.76	82
2.1.82	83
2.1.85	67
2.1.89	71
2.1.90	121
2.1.92	66
2.1.93	123
2.1.94	166
2.3.0	89
2.4.0	72
2.4.1	139
