version	total
2.20.4	2699
2.20.5	2798
2.20.6	2689
2.20.7	2697
2.20.8	2700
2.21.1	3419
2.21.2	2914
2.21.3	2919
2.21.4	2908
2.21.5	2902
2.21.6	2957
2.21.7	2903
2.21.8	2918
2.21.9	2905
2.22.0	3052
2.22.1	2905
2.22.2	2928
2.22.3	2915
2.22.4	2901
2.22.5	2897
2.22.6	2880
2.22.7	2892
2.22.8	2907
2.22.9	2892
2.23.0	2905
2.23.1	2884
2.23.2	2907
2.23.3	3133
2.23.4	2911
2.23.5	2864
2.23.6	2881
2.23.7	2871
2.23.8	2977
2.23.9	2856
2.24.0	2900
2.24.1	2871
2.24.2	2867
2.25.0	3214
2.25.1	3198
2.25.2	2985
2.25.3	2865
2.25.4	2871
2.25.5	2880
2.25.6	2856
2.25.7	3573
2.26.0	2773
2.26.1	2737
2.26.2	3090
2.26.3	2731
2.26.4	3178
2.26.5	2721
2.26.6	2662
2.26.7	2623
2.26.8	2631
2.26.9	2611
2.26.10	2651
2.26.11	2518
2.27.0	2417
2.27.1	3226
2.27.2	2391
2.27.3	2314
2.27.4	8860
3.0.0	3835
3.1.0	2067
3.1.1	4033
3.2.0	2057
3.3.0	1296
3.4.0	1574
