version	total
1.56	7418
1.97	5639
1.126	12972
1.139	5254
1.141	12532
2.0.1	6010
2.3.0	5599
2.5.0	12204
2.7.1	31758
2.9.0	14227
2.9.2	18866
2.10.6	12418
2.11.0	13522
2.13	8074
2.14	33971
2.14.1	9893
2.15.0	8261
2.16.0	38983
2.17.0	39402
2.17.2	39366
2.17.3	39395
2.17.4	38757
2.17.5	38222
2.17.6	39976
2.17.8	39404
2.17.10	37939
2.17.11	38613
2.18.0	38652
2.18.1	38532
2.18.2	42828
2.18.3	38746
2.18.4	39494
2.18.5	38940
2.18.6	39321
2.18.7	48019
2.18.9	27907
2.18.10	7942
2.18.11	14396
2.18.12	9593
2.18.13	8373
2.18.14	14798
2.18.15	9403
2.18.16	9520
2.18.17	10209
2.18.20	10161
2.18.21	9032
2.18.22	9181
2.18.23	14054
2.18.25	2783
2.18.26	4273
2.18.27	5229
2.18.29	21029
2.19.0	5176
2.19.1	3166
2.19.2	3477
2.20.0	3540
2.20.1	65262
2.20.2	10666
2.20.3	4790
2.20.4	12563
2.20.5	3687
2.20.6	4461
2.20.7	7864
2.20.8	5163
2.21.1	6784
2.21.2	9348
2.21.3	3554
2.21.4	14397
2.21.5	2830
2.21.6	11211
2.21.7	7319
2.21.8	14181
2.21.9	9219
2.22.0	3674
2.22.1	32124
2.22.2	8021
2.22.3	3719
2.22.4	2768
2.22.5	2149
2.22.6	2158
2.22.7	2182
2.22.8	6273
2.22.9	5674
2.23.0	6090
2.23.1	9401
2.23.2	8415
2.23.3	12621
2.23.4	14636
2.23.5	2043
2.23.6	2871
2.23.7	7531
2.23.8	9374
2.23.9	4917
2.24.0	4702
2.24.1	4502
2.24.2	2522
2.25.0	20073
2.25.1	8863
2.25.2	5180
2.25.3	7535
2.25.4	4854
2.25.5	9105
2.25.6	9891
2.25.7	10131
2.26.0	3893
2.26.1	7739
2.26.2	4565
2.26.3	6985
2.26.4	5463
2.26.5	8057
2.26.6	8662
2.26.7	7479
2.26.8	1967
2.26.9	7828
2.26.10	9829
2.26.11	11186
2.27.0	7430
2.27.1	91725
2.27.2	2976
2.27.3	9167
2.27.4	26409
2.27.5	14877
3.0.0	65909
3.1.0	140764
3.1.1	33703
3.2.0	8353
3.3.0	11112
3.4.0	8087
