version	total
0.23.0	5947
0.29.1	5059
0.33.2	5715
0.34.1	6989
0.38.1	5643
0.40.1	5706
0.46.1	5792
0.48.0	6139
0.54.0	5422
0.55.0	5354
0.56.0	3722
0.57.0	3106
0.57.1	8440
0.59.0	3648
0.60.0	4643
0.61.0	6030
0.62.1	10578
0.70.0	2694
0.72.0	2411
0.73.0	2288
0.74.0	2204
0.74.1	2304
0.74.2	2185
0.74.3	2346
0.74.4	2464
0.74.5	2161
0.74.6	2145
0.74.7	2071
0.74.8	2072
0.74.9	2189
0.74.10	2365
0.74.11	2579
0.75.3	2273
0.75.9	1311
0.75.10	1453
0.75.11	1399
0.75.12	1398
0.75.14	1328
0.75.15	1312
0.75.17	1312
0.75.18	1282
0.75.19	1250
0.75.20	1150
0.75.21	1127
0.75.22	1068
0.75.24	781
0.75.25	766
0.75.26	780
0.75.27	394
0.75.29	337
0.75.30	296
0.75.31	302
0.75.32	104
0.75.33	130
0.75.34	54
0.75.35	52
0.75.37	76
0.75.38	40
0.75.40	98
0.75.41	45
