version	total
0.1.0	864
0.1.1	916
0.2.0	920
0.2.1	916
0.2.2	921
0.2.3	901
0.2.4	908
0.2.5	897
0.2.6	898
0.2.9	822
0.2.10	765
0.3.0	644
0.3.1	626
0.3.2	648
0.4.0	594
0.4.1	903
0.4.2	536
0.5.0	413
0.6.0	376
0.7.0	1464
0.7.1	1265
0.7.2	1409
0.7.3	1381
0.7.4	1204
0.8.0	867
0.8.1	803
0.8.2	933
0.8.3	929
0.8.4	836
0.9.0	811
0.9.1	647
0.9.2	680
0.9.3	684
0.10.0	922
0.10.1	549
0.10.2	620
0.10.3	482
0.10.4	449
0.10.5	471
0.11.1	439
0.11.2	473
0.11.3	467
0.12.0	425
0.12.1	425
0.12.2	382
0.12.3	326
0.12.4	184
0.12.5	198
0.12.6	192
0.12.7	192
0.12.8	161
0.13.0	125
0.13.1	105
0.13.2	365
0.14.0	282
0.14.1	264
0.14.2	240
0.15.0	234
0.16.0	168
