version	total
6.0b	5494
6.0	5143
6.0.1	4612
6.0.2c	4698
6.0.3	4503
6.0.4	4413
6.0.5	4420
6.0.6	4446
6.0.7	4278
6.0.8	4282
6.0.9	4322
6.0.10	4476
6.0.11	4402
6.0.12	4480
6.0.13	4231
6.0.14	4468
6.0.15	4126
6.0.16	4872
6.0.17	3804
6.0.18	5376
6.0.19	3733
6.0.20	3696
6.0.21	3681
6.0.22	3730
6.0.23	3761
6.0.24	3598
6.0.25	3538
6.0.26	3395
6.0.27	3415
6.0.28	3776
6.0.29	3737
6.0.30	3338
6.0.31	3534
6.0.32	2781
6.0.33	3250
6.0.34	2845
6.0.35	2580
6.1.0	3383
6.1.1	2655
6.1.2	2319
6.1.3	1709
6.1.4	1927
6.1.5	2009
6.1.6	1967
6.1.7	2146
6.2.0	1879
6.2.1	1680
6.2.2	1721
6.2.3	2586
6.3.0	1985
6.3.1	2019
6.3.2	1512
6.3.3	1109
6.3.4	1526
6.3.5	1115
6.3.6	2102
